name,group,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,ID
"TITLE: Nanocubes for Real-Time Exploration of Spatiotemporal Datasets WORDS: used, new, space, large, volume, users, use, design, visualizations, interactive",Nanocubes for Real-Time Exploration of Spatiotemporal Datasets,6,4,9,5,2,3,7,8,1,10,51
"TITLE: Visualizing Request-Flow Comparison to Aid Performance Diagnosis in Distributed Systems WORDS: users, use, design, visualizations, interactive, new, different, study, technique, time",Visualizing Request-Flow Comparison to Aid Performance Diagnosis in Distributed Systems,1,3,4,9,7,2,6,8,5,10,52
"TITLE: Evaluation of filesystem Provenance Visualization Tools WORDS: new, users, use, design, visualizations, interactive, used, novel, different, study",Evaluation of filesystem Provenance Visualization Tools,3,1,2,9,10,8,4,7,6,5,53
"TITLE: Visualizing Fuzzy Overlapping Communities in Networks WORDS: users, use, design, visualizations, interactive, new, different, study, technique, time",Visualizing Fuzzy Overlapping Communities in Networks,7,3,10,6,9,2,4,5,8,1,54
"TITLE: Radial Sets: Interactive Visual Analysis of Large Overlapping Sets WORDS: users, use, design, visualizations, interactive, used, space, large, different, study",Radial Sets: Interactive Visual Analysis of Large Overlapping Sets,8,7,6,2,1,5,9,3,10,4,55
"TITLE: SoccerStories: A Kick-off for Visual Soccer Analysis WORDS: new, users, use, design, visualizations, interactive, novel, space, large, different",SoccerStories: A Kick-off for Visual Soccer Analysis,3,6,10,5,1,8,4,9,2,7,56
"TITLE: Creative User-Centered Visualization Design for Energy Analysts and Modelers WORDS: used, users, use, design, visualizations, interactive, space, large, new, different",Creative User-Centered Visualization Design for Energy Analysts and Modelers,3,2,7,4,10,1,6,5,8,9,57
"TITLE: Understanding Interfirm Relationships in Business Ecosystems with Interactive Visualization WORDS: used, new, space, large, users, use, design, visualizations, interactive, volume",Understanding Interfirm Relationships in Business Ecosystems with Interactive Visualization,1,3,5,6,9,8,10,2,7,4,58
"TITLE: Entourage: Visualizing Relationships between Biological Pathways using Contextual Subsets WORDS: users, use, design, visualizations, interactive, new, different, study, technique, time",Entourage: Visualizing Relationships between Biological Pathways using Contextual Subsets,8,3,6,10,1,4,5,9,7,2,59
"TITLE: Variant View: Visualizing Sequence Variants in their Gene Context WORDS: new, users, use, design, visualizations, interactive, volume, novel, space, large",Variant View: Visualizing Sequence Variants in their Gene Context,2,1,3,10,9,5,6,7,4,8,60
"TITLE: DiffAni: Visualizing Dynamic Graphs with a Hybrid of Difference Maps and Animation WORDS: users, use, design, visualizations, interactive, space, large, different, study, technique",DiffAni: Visualizing Dynamic Graphs with a Hybrid of Difference Maps and Animation,6,2,1,5,7,3,9,4,10,8,61
"TITLE: Visualizing Change over Time Using Dynamic Hierarchies: TreeVersity2 and the StemView WORDS: users, use, design, visualizations, interactive, volume, new, different, study, technique",Visualizing Change over Time Using Dynamic Hierarchies: TreeVersity2 and the StemView,6,8,10,2,7,3,4,9,5,1,62
