name,group,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T19,ID
"data, visual, users, using, based, study, interactive, visualization, analysis, results",A Novel Approach to Visualizing Dark Matter Simulations,2,10,18,11,13,6,3,9,8,1,12,15,4,5,16,7,14,19,20,17,110
"data, visual, method, visualization, visualizations, time, users, analysis, study, interactive",Visual Data Analysis as an Integral Part of Environmental Management,2,15,9,16,10,13,1,5,18,12,14,8,19,4,17,6,7,11,3,20,111
"data, visual, visualization, analysis, system, users, time, techniques, visualizations, use",Evaluation of Fast-Forward Video Visualization,1,10,8,2,20,4,7,6,18,11,5,12,14,13,16,3,9,15,17,19,112
"data, visual, based, using, visualization, visualizations, system, users, time, method",Human Computation in Visualization: Using Purpose Driven Games for Robust Evaluation of Visualization Algorithms,13,2,16,3,17,5,9,7,19,4,1,14,10,20,15,12,6,8,11,18,113
"data, visualizations, visual, visualization, using, analysis, method, system, study, interactive",Evaluation of Multivariate Visualization on a Multivariate Task,2,10,18,1,14,4,6,19,9,3,5,13,16,15,8,7,11,12,17,20,114
"data, method, users, based, visual, study, interactive, using, visualization, time",A Data-Driven Approach to Hue-Preserving Color-Blending,17,8,16,3,7,4,13,9,2,19,1,6,15,11,18,12,14,5,10,20,115
"data, visual, using, visualization, visualizations, users, system, study, interactive, analysis",Effects of Stereo and Screen Size on the Legibility of Three-Dimensional Streamtube Visualization,5,6,13,9,3,8,17,14,11,12,2,4,10,16,15,7,18,1,19,20,116
"data, visual, visualizations, visualization, users, method, analysis, based, system, different",Analysis of Streamline Separation at Infinity Using Time-Discrete Markov Chains,11,15,7,3,10,5,13,17,14,2,8,19,1,12,16,18,9,6,4,20,117
"data, based, visual, visualization, users, visualizations, study, interactive, analysis, time",Derived Metric Tensors for Flow Surface Visualization,12,1,3,13,16,8,17,6,11,2,4,19,14,10,15,7,9,5,20,18,118
"data, visual, visualization, visualizations, analysis, method, techniques, users, time, based",Lagrangian Coherent Structures for Design Analysis of Revolving Doors,3,19,9,16,17,5,7,8,14,4,2,12,6,15,18,1,13,10,11,20,119
"data, visual, visualization, method, study, interactive, analysis, using, present, based",Turbulence Visualization at the Terascale on Desktop PCs,4,7,13,1,18,19,16,8,17,9,5,2,10,6,15,11,14,12,3,20,120
"data, visualizations, visual, system, users, using, visualization, method, based, time",Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,6,8,11,10,13,2,3,15,12,1,7,17,18,9,5,20,4,16,14,19,121
"data, visual, visualization, based, analysis, visualizations, users, study, interactive, techniques",Visualization of Astronomical Nebulae via Distributed Multi-GPU Compressed Sensing Tomography,6,14,15,4,17,2,9,1,12,5,16,18,7,13,19,3,10,11,8,20,122
"data, visual, users, system, method, visualizations, visualization, based, analysis, time",Visualization of Flow Behavior in Earth Mantle Convection,11,2,19,1,14,15,7,20,18,13,3,9,4,5,10,6,17,12,8,16,123
"data, visual, visualization, study, interactive, analysis, users, techniques, method, visualizations",Interactive Retro-Deformation of Terrain for Reconstructing 3D Fault Displacements,9,15,19,8,18,3,5,11,17,1,2,10,4,12,16,6,14,7,13,20,124
"data, visualizations, using, method, users, system, study, interactive, visual, results",A Visual Analysis Concept for the Validation of Geoscientific Simulation Models,3,19,6,11,15,13,1,8,4,17,9,2,5,10,18,12,7,20,14,16,125
"data, visual, visualization, method, analysis, system, using, study, interactive, based",SeiVis: An Interactive Visual Subsurface Modeling Application,7,4,15,5,19,16,6,20,3,9,13,14,12,8,11,1,10,2,18,17,126
"data, based, visual, method, visualization, users, time, analysis, using, techniques",WYSIWYP: What You See Is What You Pick,12,8,5,3,16,20,11,18,10,4,6,7,1,13,19,15,14,2,9,17,127
"data, visual, visualization, analysis, techniques, visualizations, users, method, time, using",Efficient Structure-Aware Selection Techniques for 3D Point Cloud Visualizations with 2DOF Input,10,5,6,3,17,8,4,13,19,14,1,9,18,7,11,16,2,12,15,20,128
"data, visual, visualization, method, based, analysis, time, users, techniques, using",Sketching Uncertainty into Simulations,3,2,10,18,8,19,17,5,15,16,9,12,1,13,20,6,4,11,14,7,129
"data, visual, visualization, analysis, users, using, system, study, interactive, based",A Perceptual-Statistics Shading Model,5,2,17,3,16,7,1,14,20,12,4,15,8,11,9,13,6,10,19,18,130
"data, based, visual, visualizations, visualization, users, analysis, using, study, interactive",Visual Steering and Verification of Mass Spectrometry Data Factorization in Air Quality Research,3,17,18,2,12,6,15,13,14,9,8,10,1,4,5,7,20,16,11,19,131
"data, visual, visualization, method, analysis, time, visualizations, techniques, users, system",Interactive Volume Exploration of Petascale Microscopy Data Streams Using a Visualization-Driven Virtual Memory Approach,17,1,13,14,11,4,12,16,20,3,15,18,5,7,6,2,9,10,8,19,132
"data, visual, users, visualization, time, visualizations, analysis, method, use, based",An Adaptive Prediction-Based Approach to Lossless Compression of Floating-Point Volume Data,3,5,19,13,18,15,9,7,14,1,10,4,12,17,8,16,2,11,6,20,133
"data, visual, visualization, analysis, techniques, system, study, interactive, visualizations, method",On the Interpolation of Data with Normally Distributed Uncertainty for Visualization,18,6,14,4,11,5,7,2,8,1,13,3,19,16,17,12,15,10,9,20,134
"data, method, visual, using, based, visualization, users, system, analysis, time",Coherency-Based Curve Compression for High-Order finite Element Model Visualization,6,4,8,5,20,9,7,17,10,1,2,16,3,12,19,15,13,14,11,18,135
"data, visual, visualization, analysis, techniques, method, system, users, paper, design",ElVis: A System for the Accurate and Interactive Visualization of High-Order finite Element Solutions,4,5,16,10,9,7,8,14,1,11,3,15,13,17,18,20,6,2,12,19,136
